City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,san patricio,US,86.86,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
2,hilo,US,72.81,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,ribeira grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
18,atambua,ID,71.37,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
20,guerrero negro,MX,71.35,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
23,kapaa,US,79.12,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,butaritari,KI,82.6,clear sky,3.0707,172.7902,Isles Sunset Lodge
30,pasighat,IN,78.55,overcast clouds,28.0667,95.3333,Siang Guest House
32,kahului,US,76.26,light rain,20.8947,-156.47,Maui Seaside Hotel
33,port moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
34,diebougou,BF,83.25,light rain,10.9667,-3.25,Hotel Le Consulat
37,mizdah,LY,93.38,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
38,pangai,TO,71.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
39,sioux lookout,CA,78.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
42,padang,ID,79.36,moderate rain,-0.9492,100.3543,Mercure Padang
47,ergani,TR,95.72,clear sky,38.2653,39.7621,Serkan Hotel
48,kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
49,cam ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
55,rikitea,PF,74.39,clear sky,-23.1203,-134.9692,People ThankYou
64,maamba,ZM,76.32,clear sky,-17.3667,27.15,
65,axim,GH,80.6,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
68,pamekasan,ID,80.04,clear sky,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
