City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,severo-kurilsk,RU,50.6789,156.125,53.58,90,17,10.96,few clouds
1,san patricio,US,28.017,-97.5169,86.86,71,37,4.43,scattered clouds
2,hilo,US,19.7297,-155.09,72.81,90,75,4.61,broken clouds
3,busselton,AU,-33.65,115.3333,53.1,84,0,8.72,clear sky
4,la ronge,CA,55.1001,-105.2842,66.45,63,20,5.75,few clouds
5,fortuna,US,40.5982,-124.1573,59.36,69,90,1.99,overcast clouds
6,sorland,NO,67.667,12.6934,53.67,76,75,12.66,broken clouds
7,grindavik,IS,63.8424,-22.4338,54.07,87,75,13.8,broken clouds
8,jamestown,US,42.097,-79.2353,69.3,84,100,3.0,overcast clouds
9,ribeira grande,PT,38.5167,-28.7,79.2,69,20,10.36,few clouds
10,pisco,PE,-13.7,-76.2167,62.02,82,90,4.61,mist
11,punta arenas,CL,-53.15,-70.9167,41.11,100,90,8.05,overcast clouds
12,vaini,TO,-21.2,-175.2,66.36,82,20,5.75,few clouds
13,rio grande,BR,-32.035,-52.0986,57.31,81,58,3.74,broken clouds
14,northam,GB,51.0333,-4.2167,67.19,86,100,15.14,overcast clouds
15,ushuaia,AR,-54.8,-68.3,40.66,81,40,0.0,scattered clouds
16,cherskiy,RU,68.75,161.3,42.89,86,100,3.49,overcast clouds
17,tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,90,9.22,overcast clouds
18,atambua,ID,-9.1061,124.8925,71.37,86,41,6.04,scattered clouds
19,te anau,NZ,-45.4167,167.7167,46.63,90,100,7.9,overcast clouds
20,guerrero negro,MX,27.9769,-114.0611,71.35,81,78,12.08,broken clouds
21,port alfred,ZA,-33.5906,26.891,64.65,62,0,11.05,clear sky
22,warrington,GB,53.3925,-2.5802,68.02,84,75,5.01,light rain
23,kapaa,US,22.0752,-159.319,79.12,78,75,17.27,moderate rain
24,cape town,ZA,-33.9258,18.4232,69.89,47,0,1.99,clear sky
25,mount isa,AU,-20.7333,139.5,67.77,34,0,6.91,clear sky
26,souillac,MU,-20.5167,57.5167,70.18,68,75,11.5,broken clouds
27,kangaatsiaq,GL,68.3065,-53.4641,46.08,78,100,28.1,overcast clouds
28,mar del plata,AR,-38.0023,-57.5575,44.62,100,90,3.44,fog
29,butaritari,KI,3.0707,172.7902,82.6,74,9,9.04,clear sky
30,pasighat,IN,28.0667,95.3333,78.55,94,99,2.86,overcast clouds
31,avarua,CK,-21.2078,-159.775,66.25,94,100,2.3,overcast clouds
32,kahului,US,20.8947,-156.47,76.26,79,90,6.91,light rain
33,port moresby,PG,-9.4431,147.1797,78.22,83,75,11.5,broken clouds
34,diebougou,BF,10.9667,-3.25,83.25,68,99,8.97,light rain
35,bredasdorp,ZA,-34.5322,20.0403,68.29,55,7,11.5,clear sky
36,barrow,US,71.2906,-156.7887,39.22,87,90,19.57,overcast clouds
37,mizdah,LY,31.4451,12.9801,93.38,20,2,11.21,clear sky
38,pangai,TO,-19.8,-174.35,71.51,59,19,16.55,few clouds
39,sioux lookout,CA,50.1001,-91.917,78.87,50,75,5.75,broken clouds
40,bluff,NZ,-46.6,168.3333,48.79,78,100,17.67,overcast clouds
41,coihaique,CL,-45.5752,-72.0662,37.35,93,90,3.44,overcast clouds
42,padang,ID,-0.9492,100.3543,79.36,86,100,2.71,moderate rain
43,belyy yar,RU,53.6039,91.3903,64.29,72,0,4.47,clear sky
44,oranjemund,NA,-28.55,16.4333,71.17,31,0,7.02,clear sky
45,tasiilaq,GL,65.6145,-37.6368,51.96,67,80,9.95,broken clouds
46,lebu,CL,-37.6167,-73.65,49.86,87,100,22.57,overcast clouds
47,ergani,TR,38.2653,39.7621,95.72,19,0,7.49,clear sky
48,kuching,MY,1.55,110.3333,79.02,89,20,0.0,few clouds
49,cam ranh,VN,11.9214,109.1591,78.76,83,20,1.14,few clouds
50,nanortalik,GL,60.1432,-45.2371,50.29,93,100,4.99,overcast clouds
51,thompson,CA,55.7435,-97.8558,69.96,64,20,9.22,few clouds
52,chumikan,RU,54.7183,135.315,64.4,80,100,7.85,overcast clouds
53,smithers,CA,54.7804,-127.1743,57.52,94,75,3.44,light rain
54,saskylakh,RU,71.9167,114.0833,50.85,64,0,7.49,clear sky
55,rikitea,PF,-23.1203,-134.9692,74.39,75,3,15.12,clear sky
56,khatanga,RU,71.9667,102.5,59.52,52,100,10.36,overcast clouds
57,rudnaya pristan,RU,44.3614,135.8116,59.92,83,82,2.46,broken clouds
58,nikolskoye,RU,59.7035,30.7861,69.69,53,100,8.7,overcast clouds
59,hermanus,ZA,-34.4187,19.2345,68.81,61,7,3.53,clear sky
60,la union,PE,-5.4,-80.75,68.54,68,87,11.14,overcast clouds
61,new norfolk,AU,-42.7826,147.0587,42.3,76,67,1.99,broken clouds
62,port lincoln,AU,-34.7333,135.8667,52.83,82,5,7.9,clear sky
63,husavik,IS,66.0449,-17.3389,62.51,60,69,6.26,broken clouds
64,maamba,ZM,-17.3667,27.15,76.32,37,0,11.16,clear sky
65,axim,GH,4.8699,-2.2405,80.6,65,46,10.4,scattered clouds
66,mataura,NZ,-46.1927,168.8643,48.47,90,50,4.23,scattered clouds
67,diego de almagro,CL,-26.3667,-70.05,66.9,19,12,1.12,few clouds
68,pamekasan,ID,-7.1568,113.4746,80.04,76,7,10.63,clear sky
69,ulladulla,AU,-35.35,150.4667,58.1,48,0,11.92,clear sky
70,magadan,RU,59.5667,150.8,56.17,95,98,3.4,overcast clouds
71,qaanaaq,GL,77.484,-69.3632,38.37,99,100,6.15,light rain
72,havelock,US,34.8791,-76.9013,87.75,79,20,1.99,few clouds
73,leningradskiy,RU,69.3833,178.4167,33.75,98,100,14.52,overcast clouds
74,ingham,US,42.6,-84.3833,71.26,72,1,0.0,clear sky
75,albany,US,42.6001,-73.9662,72.81,64,51,5.03,broken clouds
76,puerto ayora,EC,-0.7393,-90.3518,71.56,97,98,5.01,overcast clouds
77,bathsheba,BB,13.2167,-59.5167,86.61,70,20,11.5,few clouds
78,chuy,UY,-33.6971,-53.4616,58.42,91,100,3.36,overcast clouds
79,atuona,PF,-9.8,-139.0333,77.7,71,8,19.24,clear sky
80,bambous virieux,MU,-20.3428,57.7575,70.05,68,75,11.5,broken clouds
81,wuan,CN,31.6836,112.0044,74.39,93,37,3.76,scattered clouds
82,norman wells,CA,65.282,-126.8329,51.84,93,90,5.75,light rain
83,georgetown,MY,5.4112,100.3354,79.9,90,40,4.61,scattered clouds
84,carnarvon,AU,-24.8667,113.6333,62.67,58,75,6.91,broken clouds
85,hambantota,LK,6.1241,81.1185,82.74,74,75,14.97,broken clouds
86,santa isabel do rio negro,BR,-0.4139,-65.0192,82.71,63,100,2.35,overcast clouds
87,bethel,US,41.3712,-73.414,75.56,65,1,9.22,clear sky
88,kampene,CD,-3.6,26.6667,93.24,25,28,1.92,scattered clouds
89,yamada,JP,39.4667,141.95,64.49,91,100,4.9,overcast clouds
90,kovur,IN,14.4833,79.9833,84.04,62,100,7.49,overcast clouds
91,alofi,NU,-19.0595,-169.9187,69.69,78,94,12.66,overcast clouds
92,port hedland,AU,-20.3167,118.5667,75.25,29,70,8.05,broken clouds
93,luderitz,NA,-26.6481,15.1594,63.7,57,0,11.23,clear sky
94,madison heights,US,42.4859,-83.1052,73.15,58,1,4.61,clear sky
95,olafsvik,IS,64.8945,-23.7142,54.18,87,100,13.91,overcast clouds
96,aklavik,CA,68.2191,-135.0107,48.92,93,90,3.44,haze
97,san quintin,MX,30.4833,-115.95,69.15,88,29,8.41,scattered clouds
98,fare,PF,-16.7,-151.0167,78.33,74,1,10.78,clear sky
99,katsuura,JP,35.1333,140.3,69.91,95,100,12.39,light rain
100,ternate,ID,0.8,127.4,80.22,77,52,1.61,broken clouds
101,djibo,BF,14.1022,-1.6306,91.22,44,53,9.95,broken clouds
102,rabo de peixe,PT,37.8,-25.5833,74.71,83,20,6.91,few clouds
103,margate,GB,51.3813,1.3862,74.7,60,26,13.6,scattered clouds
104,horqueta,PY,-23.3428,-57.0597,80.29,38,1,1.57,clear sky
105,waw,SS,7.7029,27.9953,81.39,73,71,5.01,light rain
106,coquimbo,CL,-29.9533,-71.3436,55.13,76,90,5.75,overcast clouds
107,ostrovnoy,RU,68.0531,39.5131,59.67,84,100,8.3,overcast clouds
108,grand gaube,MU,-20.0064,57.6608,70.2,69,60,5.01,broken clouds
109,sinnamary,GF,5.3833,-52.95,76.35,91,100,10.58,overcast clouds
110,den helder,NL,52.9599,4.7593,76.98,82,75,18.41,broken clouds
111,lagdo,CM,9.05,13.7333,88.92,51,30,4.9,scattered clouds
112,stornoway,GB,58.2093,-6.3865,58.96,77,75,12.66,broken clouds
